Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3200020	CALTRANS-L.T. DAVIS RESTSTOP	A	NC	NC	PLUMAS	200	1	CA3200020_001_001	WELL 01	WL	A	RT	07-16-2019	10:12:00	07-17-2019	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_009_009	NEW NORTON WELL - STANDBY	WL	A	RT	12-29-2020	10:35:00	01-05-2021	1677	BASIC LABORATORY (REDDING)	1025	FLUORIDE			MG/L	Y	0.100000000	.1	2	
DISTRICT 02 - LASSEN	CA3200102	WHITEHAWK RANCH MWC	A	C	C	PLUMAS	765	201	CA3200102_DST_801	DBPR Sample	DS	A	RT	09-13-2022	11:25:00	09-21-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2941	CHLOROFORM	5		UG/L	N	1.000000000	1		EPA 551.1
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_018_018	WELL 08	WL	A	RT	09-20-2022	08:53:00	09-26-2022	1677	BASIC LABORATORY (REDDING)	2983	1,2-DICHLOROPROPANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_001_001	WELL 01	WL	A	RT	06-28-2022	08:10:00	07-12-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2380	CIS-1,2-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	6	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200084	PG&E ROCKY POINT CG	A	NC	NC	PLUMAS	312	7	CA3200084_002_002	WELL 02 (NORTH WELL)	WL	A	RT	08-22-2019	09:59:00	08-23-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_009_009	NEW NORTON WELL - STANDBY	WL	A	RT	10-19-2021	11:51:00	10-21-2021	1677	BASIC LABORATORY (REDDING)	2985	1,1,2-TRICHLOROETHANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200072	BUCKS LAKESHORE RESORT	A	NC	NC	PLUMAS	200	1	CA3200072_003_003	WELL 03 (INSTALLED 2009)	WL	A	RT	05-06-2021	11:01:00	05-07-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1038	NITRATE-NITRITE			MG/L	Y	0.200000000	.4	10	
LPA62 - PLUMAS COUNTY	CA3200217	WEHRMAN WATER SYSTEM	I	NP	LSS		24	1	CA3200217_001_001	WELL 01	WL	A	RT	12-10-2019	10:50:00	12-10-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1994	AGGRESSIVE INDEX	11.5000000		AGGR	N	0.000000000			
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_001_001	WELL 1P	WL	A	RT	01-18-2022	12:32:00	02-09-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1028	IRON	6550		UG/L	N	100.000000000		300	EPA 200.7
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_DST_801	DBPR Sample	DS	A	RT	07-11-2022	10:45:00	07-22-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2451	DICHLOROACETIC ACID	4		UG/L	N	1.000000000	1		EPA 552.2
LPA62 - PLUMAS COUNTY	CA3205005	GRIZZLY CREEK RANCH SNJ	A	NTNC	NTNC	PLUMAS	300	1	CA3205005_001_001	WELL 01	WL	A	RT	02-18-2020	10:36:00	02-26-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1035	MERCURY			UG/L	Y	1.000000000	1	2	
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-23-2019	10:29:00	01-27-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2994	ISOPROPYLBENZENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3200207	PLUMAS SIERRA RURAL ELECTRIC PORTOLA	I	NTNC	NTNC	PLUMAS	25	2	CA3200207_002_002	WELL 02 (INSTALLED 2001)	WL	A	RT	04-09-2019	12:03:00	04-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2426	TERT-BUTYLBENZENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3200095	CAMP CROMBERG / COMMUNITY OF CHRIST	I	NP	LSS	PLUMAS	24	1	CA3200095_001_001	WELL 01	WL	A	RT	05-28-2019	10:57:00	05-29-2019	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_001_001	WELL 03	WL	A	RT	06-22-2021	10:58:00	06-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2941	CHLOROFORM			UG/L	Y	1.000000000	1		
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_DST_801	DBPR Sample	DS	A	RT	11-30-2021	08:25:00	12-15-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2450	MONOCHLOROACETIC ACID			UG/L	Y	2.000000000	2		EPA 552.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_013_013	BOYLE WELL #7	WL	A	RT	11-05-2019	09:06:00	11-07-2019	2718	BASIC LABORATORY, INC (CHICO)	1021	HYDROXIDE AS CALCIUM CARBONATE			MG/L	Y	0.000000000			
DISTRICT 02 - LASSEN	CA3200102	WHITEHAWK RANCH MWC	A	C	C	PLUMAS	765	201	CA3200102_001_001	MCKENZIE CREEK / WEST STREAM - RAW	IN	A	RT	06-15-2021	10:15:00	06-25-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1039	PERCHLORATE			UG/L	Y	4.000000000	4	6	
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_DST_LCR	LCR Tap Sample	DS	A	RT	07-26-2022	10:15:00	08-04-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50		EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_001_001	WELL 01	WL	A	RT	06-28-2022	08:10:00	07-12-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2965	O-CHLOROTOLUENE			UG/L	Y	0.500000000			EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200072	BUCKS LAKESHORE RESORT	A	NC	NC	PLUMAS	200	1	CA3200072_001_001	WELL 01	WL	A	RT	05-06-2021	10:20:00	05-07-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	
DISTRICT 02 - LASSEN	CA3200107	GRIZZLY LAKE CSD-CROCKER/WELCH	A	C	C	PLUMAS	215	73	CA3200107_002_002	CROCKER MOUNTAIN WELL	WL	A	RT	07-23-2019	10:00:00	08-08-2019	1186	PACE ANALYTICAL SERVICES, LLC DBA BC LAB	2380	CIS-1,2-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	6	
DISTRICT 02 - LASSEN	CA3200104	GRIZZLY LAKE CSD-DELLEKER	A	C	C	PLUMAS	1314	351	CA3200104_003_003	WELL 02	WL	A	RT	12-03-2020	10:30:00	12-09-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	C034	TERT-AMYL-METHYL ETHER			UG/L	Y	3.000000000			
LPA62 - PLUMAS COUNTY	CA3200509	CLIO PUBLIC UTILITY DISTRICT	A	C	C	PLUMAS	79	53	CA3200509_DST_LCR	LCR Tap Sample	DS	A	RT	08-05-2021	06:45:00	08-20-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	5.000000000			EPA 200.8
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_018_018	WELL 08	WL	A	RT	09-20-2022	08:53:00	09-26-2022	1677	BASIC LABORATORY (REDDING)	2969	P-DICHLOROBENZENE			UG/L	Y	0.500000000	.5	5	EPA 524.2
DISTRICT 02 - LASSEN	CA3200510	IVCSD CRESCENT MILLS	A	C	C	PLUMAS	258	75	CA3200510_001_001	SPRING 01	SP	A	RT	12-10-2019	08:58:00	12-17-2019	1677	BASIC LABORATORY (REDDING)	1055	SULFATE	16.1000000		MG/L	N	0.500000000		500	
LPA62 - PLUMAS COUNTY	CA3200114	EVERGREEN MOTEL & MHP	A	C	C	PLUMAS	28	40	CA3200114_001_001	WELL 01	WL	A	RT	03-28-2022	08:30:00	04-06-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2413	1,3-DICHLOROPROPENE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200150	HAMILTON BRANCH MWC	I	C	C	PLUMAS	250	113	CA3200150_DST_LCR	LCR Tap Sample	DS	A	RT	07-10-2021	06:40:00	07-21-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50		EPA 200.8
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_005_005	WELLS 02, 03, & 04-REPRESENTATIVE	WL	A	RT	06-10-2020	11:45:00	06-15-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1080	CHROMIUM, HEX			UG/L	Y	1.000000000			
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	01-12-2021	11:16:00	01-14-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1028	IRON	8630.0000000		UG/L	N	100.000000000		300	
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_006_006	WELL 2 - RAW	WL	A	RT	05-04-2022	11:14:00	05-09-2022	1677	BASIC LABORATORY (REDDING)	1075	BERYLLIUM, TOTAL			UG/L	Y	0.500000000	1	4	EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200207	PLUMAS SIERRA RURAL ELECTRIC PORTOLA	I	NTNC	NTNC	PLUMAS	25	2	CA3200207_002_002	WELL 02 (INSTALLED 2001)	WL	A	RT	04-05-2022	09:30:00	05-06-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	4109	GROSS ALPHA PARTICLE ACTIVITY	14	1.460	PCI/L	N	0.700000000	3	15	EPA 900.0
LPA62 - PLUMAS COUNTY	CA3200078	FRCCSD OLD MILL RANCH	A	C	C	PLUMAS	32	36	CA3200078_DST_900	DBPR Sample	DS	A	RT	09-13-2022	10:38:00	09-25-2022	1677	BASIC LABORATORY (REDDING)	2451	DICHLOROACETIC ACID			UG/L	Y	1.000000000	1		EPA 552.3
DISTRICT 02 - LASSEN	CA3210011	PLUMAS EUREKA CSD	A	C	C	PLUMAS	1534	557	CA3210011_001_001	WELL 01B TREATMENT PLANT - TREATED	TP	A	RT	05-02-2019	12:25:00	05-03-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC	6.0000000		UG/L	N	2.000000000	2	10	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_014_014	WELL 01	WL	A	RT	09-20-2022	09:31:00	09-26-2022	1677	BASIC LABORATORY (REDDING)	2979	TRANS-1,2-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	10	EPA 524.2
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_DST_LCR	LCR Tap Sample	DS	A	RT	07-15-2020	05:43:00	07-21-2020	1677	BASIC LABORATORY (REDDING)	1022	COPPER, FREE			MG/L	Y	0.050000000	50		200.8
DISTRICT 02 - LASSEN	CA3200510	IVCSD CRESCENT MILLS	A	C	C	PLUMAS	258	75	CA3200510_003_003	WELL 01	WL	A	RT	06-20-2022	09:12:00	06-21-2022	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE	0.07		MG/L	N	0.050000000	.4	10	EPA 353.2
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	08-24-2021	10:50:00	09-10-2021	1644	MCCAMPBELL ANALYTICAL, INC.	2982	CARBON TETRACHLORIDE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
LPA62 - PLUMAS COUNTY	CA3205005	GRIZZLY CREEK RANCH SNJ	A	NTNC	NTNC	PLUMAS	300	1	CA3205005_006_006	WELL 03	WL	A	RT	02-18-2020	10:50:00	03-03-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1010	BARIUM	600.0000000		UG/L	N	100.000000000	100	1000	
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_DST_801	DBPR Sample	DS	A	RT	07-13-2021	09:44:00	07-27-2021	2119	EXCELCHEM ENVIRONMENTAL LABORATORIES	2942	BROMOFORM			UG/L	Y	1.000000000	1		
LPA62 - PLUMAS COUNTY	CA3200217	WEHRMAN WATER SYSTEM	I	NP	LSS		24	1	CA3200217_001_001	WELL 01	WL	A	RT	12-10-2019	10:50:00	12-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2905	FOAMING AGENTS (SURFACTANTS)			MG/L	Y	0.100000000		.5	
LPA62 - PLUMAS COUNTY	CA3200138	MEADOW EDGE MHP	A	C	C	PLUMAS	53	31	CA3200138_001_001	WELL 01	WL	A	RT	08-20-2019	08:30:00	08-22-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1919	CALCIUM	18.0000000		MG/L	N	0.000000000			
LPA62 - PLUMAS COUNTY	CA3200134	BLAIRSDEN WATER USERS ASSN	A	C	C	PLUMAS	200	50	CA3200134_001_001	SPRING 01	SP	A	RT	08-04-2020	09:10:00	08-05-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1075	BERYLLIUM, TOTAL			UG/L	Y	1.000000000	1	4	
LPA62 - PLUMAS COUNTY	CA3200153	CARIBOU CROSSROADS	A	NC	NC	PLUMAS	30	1	CA3200153_003_003	WELL 01	WL	A	RT	05-04-2021	09:30:00	05-05-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1038	NITRATE-NITRITE	0.3000000		MG/L	N	0.400000000	.4	10	
LPA62 - PLUMAS COUNTY	CA3200026	LNF DOMINGO SPRINGS CG	A	NP	LSS	PLUMAS	24	1	CA3200026_001_001	SPRING 01	WL	I	RT	08-24-2022	09:50:00	09-14-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1025	FLUORIDE			MG/L	Y	0.100000000	.1	2	EPA 300.0
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_004_004	WELL 02	WL	A	RT	10-04-2022	12:00:00	10-06-2022	1677	BASIC LABORATORY (REDDING)	1905	COLOR			UNITS	Y	5.000000000		15	SM 2120 B
DISTRICT 02 - LASSEN	CA3210006	LAKE ALMANOR COUNTRY CLUB MWC	A	C	C	PLUMAS	6000	1721	CA3210006_005_005	WELLS 02, 03, & 04-REPRESENTATIVE	WL	A	RT	06-10-2020	11:45:00	06-17-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1928	ALKALINITY, BICARBONATE	80.0000000		MG/L	N	0.000000000			
DISTRICT 02 - LASSEN	CA3200104	GRIZZLY LAKE CSD-DELLEKER	A	C	C	PLUMAS	1314	351	CA3200104_002_002	WELL 01	WL	A	RT	12-03-2020	10:15:00	12-09-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2228	CIS-1,3-DICHLOROPROPENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_001_001	WELL 01	WL	A	RT	07-16-2019	08:00:00	07-25-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1085	THALLIUM, TOTAL			UG/L	Y	1.000000000	1	2	
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_003_003	WELL 9M	WL	A	RT	04-09-2019	11:06:00	04-11-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2996	STYRENE			UG/L	Y	0.500000000	.5	100	
LPA62 - PLUMAS COUNTY	CA3200078	FRCCSD OLD MILL RANCH	A	C	C	PLUMAS	32	36	CA3200078_DST_LCR	LCR Tap Sample	DS	A	RT	09-29-2021	02:30:00	10-12-2021	1677	BASIC LABORATORY (REDDING)	1030	LEAD	1.80		UG/L	N	0.500000000			EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_002_002	WELL 3P2	WL	A	RT	01-08-2019	12:30:00	01-10-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC			UG/L	Y	2.000000000	2	10	
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_DST_801	DBPR Sample	DS	A	RT	09-13-2022	09:15:00	09-16-2022	1677	BASIC LABORATORY (REDDING)	2944	DIBROMOCHLOROMETHANE			UG/L	Y	0.500000000	1		EPA 524.2
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-08-2020	11:20:00	01-09-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2426	TERT-BUTYLBENZENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_004_004	WELL 1 - RAW	WL	A	RT	12-26-2019	09:58:00	01-08-2020	1677	BASIC LABORATORY (REDDING)	1052	SODIUM	8.7000000		MG/L	N	0.000000000			
LPA62 - PLUMAS COUNTY	CA3200069	PNF SUNDEW / HUTCHINS CGS	A	NC	NC	PLUMAS	50	1	CA3200069_001_001	WELL 01	WL	A	RT	06-13-2019	11:53:00	06-14-2019	2718	BASIC LABORATORY, INC (CHICO)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
LPA62 - PLUMAS COUNTY	CA3200111	FEATHER RIVER COMMUNITY COLLEGE	A	NTNC	NTNC	PLUMAS	600	300	CA3200111_DST_LCR	LCR Tap Sample	DS	A	RT	07-20-2021	08:01:00	08-11-2021	1677	BASIC LABORATORY (REDDING)	1030	LEAD	3.85		UG/L	N	0.500000000			EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205001	WALKER RANCH CSD	A	C	C	PLUMAS	150	171	CA3205001_001_001	WELL 01 (INSTALLED 1994)	WL	A	RT	04-21-2021	09:15:00	04-26-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2412	1,3-DICHLOROPROPANE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_DST_LCR	LCR Tap Sample	DS	A	RT	07-28-2020	04:30:00	08-03-2020	1677	BASIC LABORATORY (REDDING)	1030	LEAD			MG/L	Y	0.005000000			200.8
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_015_015	WELL 02	WL	A	RT	09-20-2022	09:13:00	09-26-2022	1677	BASIC LABORATORY (REDDING)	2982	CARBON TETRACHLORIDE			UG/L	Y	0.500000000	.5	.5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_008_008	WELL 03 - COBURN	WL	A	RT	10-20-2020	10:35:00	10-27-2020	1677	BASIC LABORATORY (REDDING)	1002	ALUMINUM			UG/L	Y	50.000000000	50	1000	
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	08-24-2021	10:50:00	09-10-2021	1644	MCCAMPBELL ANALYTICAL, INC.	2978	1,1-DICHLOROETHANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210001	IVCSD-GREENVILLE	A	C	C	PLUMAS	630	220	CA3210001_006_006	WELL 2 - RAW	WL	A	RT	12-26-2019	10:08:00	12-31-2019	1677	BASIC LABORATORY (REDDING)	1036	NICKEL			UG/L	Y	10.000000000	10	100	
DISTRICT 02 - LASSEN	CA3210005	GRAEAGLE WATER COMPANY	A	C	C	PLUMAS	737	944	CA3210005_002_002	TREATMENT PLANT - TREATED	TP	A	RT	07-19-2022	08:53:00	07-22-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1039	PERCHLORATE			UG/L	Y	2.000000000	2	6	EPA 314.0
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_008_008	WELL 37 (INSTALLED 2019)	WL	A	RT	07-27-2021	12:30:00	08-20-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	0.500000000			EPA 200.8
LPA62 - PLUMAS COUNTY	CA3205006	GRIZZLY RANCH CSD	A	C	C	PLUMAS	102	65	CA3205006_001_001	WELL 1P	WL	A	RT	01-18-2022	12:32:00	02-09-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1032	MANGANESE	1180		UG/L	N	20.000000000		50	EPA 200.8
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	08-24-2021	10:50:00	09-10-2021	1644	MCCAMPBELL ANALYTICAL, INC.	2941	CHLOROFORM			UG/L	Y	0.500000000	1		EPA 524.2
LPA62 - PLUMAS COUNTY	CA3200166	PG&E RODGERS FLAT SERVICE CENTER	A	NTNC	NTNC	PLUMAS	39	1	CA3200166_001_001	WELL 01	WL	A	RT	06-28-2022	08:10:00	07-12-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2964	DICHLOROMETHANE			UG/L	Y	0.500000000	.5	5	EPA 524.2
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-23-2019	10:29:00	01-27-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2969	P-DICHLOROBENZENE			UG/L	Y	0.500000000	.5	5	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_013_013	BOYLE WELL #7	WL	A	RT	11-05-2019	09:06:00	11-07-2019	1677	BASIC LABORATORY (REDDING)	2251	METHYL TERT-BUTYL ETHER			UG/L	Y	3.000000000	3	13	
LPA62 - PLUMAS COUNTY	CA3200148	FEATHER RIVER RV & MHP	A	C	C	PLUMAS	741	18	CA3200148_DST_LCR	LCR Tap Sample	DS	A	RT	09-20-2021	09:30:00	09-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1030	LEAD			UG/L	Y	5.000000000			EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200101	KEDDIE RESORT	A	NP	SSWS	PLUMAS	22	14	CA3200101_003_003	WELL 01 (INSTALLED 2016)	WL	A	RT	01-28-2019	15:50:00	01-30-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1005	ARSENIC	10.0000000		UG/L	N	2.000000000	2	10	
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_006_006	COMMERCIAL STREET WELL	WL	A	RT	08-24-2021	10:50:00	09-10-2021	1644	MCCAMPBELL ANALYTICAL, INC.	2942	BROMOFORM			UG/L	Y	0.500000000	1		EPA 524.2
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-08-2020	11:20:00	01-09-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2993	BROMOBENZENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3200188	GREENHORN CREEK CSD	A	C	C	PLUMAS	280	136	CA3200188_002_002	WELL 02	WL	A	RT	05-11-2021	10:11:00	05-20-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2998	N-PROPYLBENZENE			UG/L	Y	0.500000000			
DISTRICT 02 - LASSEN	CA3210010	HAMILTON BRANCH CSD	A	C	C	PLUMAS	1874	645	CA3210010_003_003	WELL 01	WL	A	RT	09-09-2021	10:12:00	10-01-2021	2670	FGL ENVIRONMENTAL (CHICO)	1036	NICKEL			UG/L	Y	10.000000000	10	100	EPA 200.8
DISTRICT 02 - LASSEN	CA3210003	CITY OF PORTOLA	A	C	C	PLUMAS	2100	1154	CA3210003_DST_802	DBPR Sample	DS	A	RT	04-05-2022	10:50:00	04-15-2022	1180	BSK ANALYTICAL LABORATORIES	2452	TRICHLOROACETIC ACID	4.0		UG/L	N	1.000000000	1		EPA 552.3
LPA62 - PLUMAS COUNTY	CA3200612	LNF CANYONDAM BOAT RAMP	A	NP	LSS	PLUMAS	24	1	CA3200612_001_001	WELL 01	WL	A	RT	08-21-2019	10:01:00	08-22-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1022	COPPER, FREE			UG/L	Y	50.000000000	50	1000	
DISTRICT 02 - LASSEN	CA3210007	WEST ALMANOR M.W.C.	A	C	C	PLUMAS	1394	522	CA3210007_005_005	WELL 07	WL	A	RT	06-22-2021	10:33:00	06-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2977	1,1-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	6	
LPA62 - PLUMAS COUNTY	CA3200195	GREENHAVEN HOA	A	C	C	PLUMAS	38	18	CA3200195_001_001	WELL 01	WL	A	RT	11-25-2019	10:00:00	12-19-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1035	MERCURY			UG/L	Y	1.000000000	1	2	
