Regulating Agency	Water System Number	Water System Name	System Status	Federal Water System Classification	State Water System Classification	Principal County Served	Population Served	Service Connections	PS Code	Sampling Point Name	Facility Type	Facility Status	Sample Type	Sample Date	Sample Time	Analysis Date	ELAP Cert#	Lab Name	Analyte Code	Analyte Name	Result	Counting Error	Units of Measure	Less Than Reporting Level	Reporting Level	DLR	MCL	Method
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_008_008	WELL 03 - COBURN	WL	A	RT	10-20-2020	10:35:00	10-29-2020	1677	BASIC LABORATORY (REDDING)	1919	CALCIUM	27.9000000		MG/L	N	0.000000000			
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	01-08-2020	11:20:00	01-09-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2977	1,1-DICHLOROETHYLENE			UG/L	Y	0.500000000	.5	6	
LPA62 - PLUMAS COUNTY	CA3200617	RIVER RANCH RV PARK	A	NC	NC	PLUMAS	30	35	CA3200617_001_001	WELL 01	WL	A	RT	08-11-2020	10:15:00	08-12-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1040	NITRATE			MG/L	Y	0.400000000	.4	10	
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_007_007	WELL 02 - BELLAMY	WL	A	RT	10-06-2020	09:00:00	10-08-2020	1677	BASIC LABORATORY (REDDING)	1055	SULFATE	2.6500000		MG/L	N	0.500000000		500	
LPA62 - PLUMAS COUNTY	CA3200058	CROMBERG SPRING WATER ASSN	A	NC	NC	PLUMAS	25	7	CA3200058_001_001	SPRING 01	SP	A	RT	09-27-2022	09:50:00	09-30-2022	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1041	NITRITE			MG/L	Y	0.400000000	.4	1	SM 4500-NO3-F-00
DISTRICT 02 - LASSEN	CA3210004	AMERICAN VALLEY CSD	A	C	C	PLUMAS	3778	1621	CA3210004_008_008	WELL 03 - COBURN	WL	A	RT	10-20-2020	10:35:00	10-27-2020	1677	BASIC LABORATORY (REDDING)	1032	MANGANESE			UG/L	Y	20.000000000		50	
DISTRICT 02 - LASSEN	CA3200104	GRIZZLY LAKE CSD-DELLEKER	A	C	C	PLUMAS	1314	351	CA3200104_DST_LCR	LCR Tap Sample	DS	A	RT	09-27-2022	09:15:00	09-29-2022	2990	SILVER STATE ANALYTICAL LABS - SEM RENO	1022	COPPER, FREE	95		UG/L	N	1.000000000	50		EPA 200.8
LPA62 - PLUMAS COUNTY	CA3200176	SPRING MEADOW CABINS	A	NP	SSWS	PLUMAS	22	22	CA3200176_003_003	WELL 01	WL	A	RT	11-09-2020	11:35:00	11-13-2020	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	1064	CONDUCTIVITY @ 25 C UMHOS/CM	254.0000000		UMHO/CM	N	0.000000000		1600	
DISTRICT 02 - LASSEN	CA3210009	CHESTER PUBLIC U.D.	A	C	C	PLUMAS	2187	1284	CA3210009_006_006	WELL 05	WL	A	RT	07-17-2019	09:30:00	07-22-2019	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2422	N-BUTYLBENZENE			UG/L	Y	0.500000000			
LPA62 - PLUMAS COUNTY	CA3205003	GOLD MOUNTAIN CSD	A	C	C	PLUMAS	135	101	CA3205003_008_008	WELL 37 (INSTALLED 2019)	WL	A	RT	07-27-2021	12:30:00	09-30-2021	1573	FGL ENVIRONMENTAL (SANTA PAULA, CA)	2996	STYRENE			UG/L	Y	0.500000000	.5	100	EPA 524.2
