lat,lon,activity,year,status,acres,nepa_project,district,detail
39.9899,-120.8622,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
39.9945,-120.8386,Invasives - Pesticide Application,2021,completed,,,,basic
40.3022,-120.7532,Invasives - Pesticide Application,2021,completed,,,,basic
39.9905,-120.8419,Invasives - Pesticide Application,2021,completed,,,,basic
40.2924,-120.7843,Invasives - Pesticide Application,2021,completed,,,,basic
40.316,-120.7597,Invasives - Pesticide Application,2021,completed,,,,basic
40.1986,-120.6123,Invasives - Pesticide Application,2021,completed,,,,basic
40.0256,-120.8619,Invasives - Pesticide Application,2021,completed,,,,basic
40.2316,-120.6585,Invasives - Pesticide Application,2021,completed,,,,basic
40.0972,-120.6491,Invasives - Pesticide Application,2021,completed,,,,basic
40.1508,-120.6354,Invasives - Pesticide Application,2021,completed,,,,basic
40.3046,-120.7516,Invasives - Pesticide Application,2021,completed,,,,basic
40.3043,-120.7521,Invasives - Pesticide Application,2021,completed,,,,basic
39.9898,-120.8623,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
40.3042,-120.7524,Invasives - Pesticide Application,2021,completed,,,,basic
40.3025,-120.7533,Invasives - Pesticide Application,2021,completed,,,,basic
40.304,-120.7528,Invasives - Pesticide Application,2021,completed,,,,basic
40.1215,-120.7828,Invasives - Pesticide Application,2021,completed,2.3,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
39.9588,-121.2832,Invasives - Pesticide Application,2021,completed,,,,basic
40.2308,-120.64,Invasives - Pesticide Application,2021,completed,,,,basic
40.3022,-120.7349,Invasives - Pesticide Application,2021,completed,,,,basic
40.2716,-120.6364,Invasives - Pesticide Application,2021,completed,,,,basic
40.1581,-120.6484,Invasives - Pesticide Application,2021,completed,,,,basic
40.277,-120.7968,Invasives - Pesticide Application,2021,completed,,,,basic
40.1486,-120.6493,Invasives - Pesticide Application,2021,completed,,,,basic
40.2429,-120.6574,Invasives - Pesticide Application,2021,completed,20.0,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1647,-120.616,Invasives - Pesticide Application,2021,completed,,,,basic
40.0941,-120.644,Invasives - Pesticide Application,2021,completed,,,,basic
40.3,-120.7566,Invasives - Pesticide Application,2021,completed,,,,basic
40.2168,-120.6394,Invasives - Pesticide Application,2021,completed,,,,basic
40.2391,-120.7459,Invasives - Pesticide Application,2021,completed,,,,basic
40.2221,-120.6473,Invasives - Pesticide Application,2021,completed,,,,basic
40.2193,-120.6502,Invasives - Pesticide Application,2021,completed,,,,basic
40.2176,-120.6491,Invasives - Pesticide Application,2021,completed,,,,basic
40.0887,-121.147,Invasives - Pesticide Application,2021,completed,,,,basic
40.1583,-120.6131,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0712,-121.1668,Invasives - Pesticide Application,2021,completed,,,,basic
40.2419,-120.5791,Invasives - Pesticide Application,2021,completed,,,,basic
40.3033,-120.7593,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2726,-120.6511,Invasives - Pesticide Application,2021,completed,,,,basic
40.16,-120.6105,Invasives - Pesticide Application,2021,completed,,,,basic
40.2179,-120.6488,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0368,-121.2188,Invasives - Pesticide Application,2021,completed,,,,basic
40.2533,-120.6048,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.261,-120.7866,Invasives - Pesticide Application,2021,completed,,,,basic
40.1499,-120.649,Invasives - Pesticide Application,2021,completed,,,,basic
40.166,-120.6042,Invasives - Pesticide Application,2021,completed,,,,basic
40.223,-120.6579,Invasives - Pesticide Application,2021,completed,0.4,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2387,-120.5787,Invasives - Pesticide Application,2021,completed,0.1,(PALS)WILDCAT FUELS REDUCTION AND VEGETATION MANAGEMENT PROJECT (WILDCAT PROJECT,02,full
40.2069,-120.8168,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1553,-120.6477,Invasives - Pesticide Application,2021,completed,,,,basic
40.1126,-120.6426,Invasives - Pesticide Application,2021,completed,,,,basic
40.1112,-120.71,Invasives - Pesticide Application,2021,completed,,,,basic
40.2377,-120.8286,Invasives - Pesticide Application,2021,completed,,,,basic
40.124,-120.643,Invasives - Pesticide Application,2021,completed,7.5,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1653,-120.6173,Invasives - Pesticide Application,2021,completed,,,,basic
40.2378,-120.8247,Invasives - Pesticide Application,2021,completed,,,,basic
40.2732,-120.6357,Invasives - Pesticide Application,2021,completed,0.5,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1113,-120.7173,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1642,-120.5998,Invasives - Pesticide Application,2021,completed,,,,basic
40.1455,-120.6329,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1564,-120.6483,Invasives - Pesticide Application,2021,completed,,,,basic
39.8165,-120.384,Invasives - Pesticide Application,2021,completed,16.2,(PALS)BECKWOURTH RANGER DISTRICT TALL WHITETOP PROJECT,01,full
40.3109,-120.7519,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.3035,-120.7347,Invasives - Pesticide Application,2021,completed,,,,basic
40.1119,-120.7093,Invasives - Pesticide Application,2021,completed,,,,basic
40.3159,-120.7459,Invasives - Pesticide Application,2021,completed,,,,basic
39.9912,-120.8411,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
39.9907,-120.841,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
39.9906,-120.8422,Invasives - Pesticide Application,2021,completed,,,,basic
40.1482,-120.6485,Invasives - Pesticide Application,2021,completed,,,,basic
40.2272,-120.6489,Invasives - Pesticide Application,2021,completed,3.3,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1651,-120.6034,Invasives - Pesticide Application,2021,completed,,,,basic
39.9992,-121.2705,Invasives - Pesticide Application,2021,completed,,,,basic
40.1266,-120.6574,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.9549,-121.2945,Invasives - Pesticide Application,2021,completed,,,,basic
40.2465,-120.7507,Invasives - Pesticide Application,2021,completed,,,,basic
40.1833,-120.7044,Invasives - Pesticide Application,2021,completed,7.7,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1582,-120.6056,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1218,-120.6824,Invasives - Pesticide Application,2021,completed,,,,basic
40.2134,-120.6389,Invasives - Pesticide Application,2021,completed,,,,basic
40.1233,-120.6631,Invasives - Pesticide Application,2021,completed,,,,basic
40.093,-120.641,Invasives - Pesticide Application,2021,completed,,,,basic
40.2584,-120.6578,Invasives - Pesticide Application,2021,completed,,,,basic
40.1481,-120.6504,Invasives - Pesticide Application,2021,completed,,,,basic
39.9908,-120.8423,Invasives - Pesticide Application,2021,completed,,,,basic
40.3036,-120.7338,Invasives - Pesticide Application,2021,completed,,,,basic
40.1225,-120.663,Invasives - Pesticide Application,2021,completed,,,,basic
40.015,-120.8144,Invasives - Pesticide Application,2021,completed,,,,basic
40.1605,-120.6177,Invasives - Pesticide Application,2021,completed,0.4,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.1564,-120.6324,Invasives - Pesticide Application,2021,completed,,,,basic
40.218,-120.6545,Invasives - Pesticide Application,2021,completed,,,,basic
40.3062,-120.7531,Invasives - Pesticide Application,2021,completed,,,,basic
40.1316,-120.6608,Invasives - Pesticide Application,2021,completed,,,,basic
40.1593,-120.6157,Invasives - Pesticide Application,2021,completed,,,,basic
40.2832,-120.6514,Invasives - Pesticide Application,2021,completed,,,,basic
40.2346,-120.7583,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.9916,-120.8412,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
40.2108,-120.6404,Invasives - Pesticide Application,2021,completed,0.3,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2891,-120.7612,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2868,-120.7623,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0109,-120.8407,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MT. HOUGH - SOUTH PARK PROPOSED TRAIL SYSTEM PROJECT,02,full
40.2793,-120.5911,Invasives - Pesticide Application,2021,completed,0.1,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2729,-120.6079,Invasives - Pesticide Application,2021,completed,0.2,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.2267,-120.66,Invasives - Pesticide Application,2021,completed,0.3,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
40.0883,-121.1468,Right of Way Maintenance,2021,completed,,,,basic
40.1351,-121.1222,Right of Way Maintenance,2021,completed,,,,basic
40.204,-120.654,Tree Release and Weed,2021,completed,,,,basic
40.2353,-120.6591,Tree Release and Weed,2021,completed,,,,basic
40.2087,-120.6526,Tree Release and Weed,2021,completed,28.2,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2298,-120.6585,Tree Release and Weed,2021,completed,,,,basic
40.2078,-120.644,Tree Release and Weed,2021,completed,294.9,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.1749,-120.6605,Tree Release and Weed,2021,completed,123.7,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.1982,-120.643,Tree Release and Weed,2021,completed,117.0,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.219,-120.6585,Tree Release and Weed,2021,completed,,,,basic
40.186,-120.6599,Tree Release and Weed,2021,completed,,,,basic
40.1239,-120.643,Invasives - Pesticide Application,2022,completed,,,,basic
39.9579,-121.2871,Invasives - Pesticide Application,2022,completed,,,,basic
39.8479,-121.394,Invasives - Pesticide Application,2022,completed,,,,basic
40.0394,-121.2186,Invasives - Pesticide Application,2022,completed,,,,basic
39.8425,-121.3954,Invasives - Pesticide Application,2022,completed,,,,basic
40.277,-120.7968,Invasives - Pesticide Application,2022,completed,,,,basic
39.9398,-121.3136,Invasives - Pesticide Application,2022,completed,0.8,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
40.0368,-121.2188,Invasives - Pesticide Application,2022,completed,1.4,(PALS)STORRIE AND RICH FIRE AREAS INVASIVE PLANT TREATMENT PROJECT,02,full
40.1093,-120.8523,Invasives - Pesticide Application,2022,completed,1.4,(PALS)MOONLIGHT FIRE INVASIVE PLANT TREATMENT PROJECT,02,full
39.6595,-121.3353,Site Preparation for Planting - Chemical,2022,planned,25.2,(PALS)BERRY BRUSH WUI HAZARDOUS FUELS REDUCTION PROJECT,03,full
39.812,-121.3603,Site Preparation for Planting - Chemical,2022,planned,8.0,(PALS)BIG BAR HAZARDOUS FUELS REDUCTION PROJECT 56140,03,full
39.8131,-121.3594,Site Preparation for Planting - Chemical,2022,planned,23.4,(PALS)BIG BAR HAZARDOUS FUELS REDUCTION PROJECT 56140,03,full
40.2734,-120.6626,Tree Release and Weed,2022,completed,163.4,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2292,-120.7819,Tree Release and Weed,2022,completed,,,,basic
40.1915,-120.8225,Tree Release and Weed,2022,completed,,,,basic
40.2255,-120.8219,Tree Release and Weed,2022,completed,,,,basic
40.2362,-120.7911,Tree Release and Weed,2022,completed,,,,basic
40.2521,-120.649,Tree Release and Weed,2022,completed,,,,basic
40.2509,-120.6447,Tree Release and Weed,2022,completed,67.8,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.2315,-120.805,Tree Release and Weed,2022,completed,,,,basic
40.2461,-120.7733,Tree Release and Weed,2022,completed,29.3,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
40.1742,-120.6796,Tree Release and Weed,2022,completed,,,,basic
40.2359,-120.7819,Tree Release and Weed,2022,completed,72.0,(PALS)DECISION NOTICE FOR THE MOONLIGHT FIRE AREA RESTORATION PROJECT,02,full
