Permit #,Permitee,Site ID,Site Location,Site Name,Meridian,Township,Range,Section,Application Date,Application Time,Commodity Code,Commodity,EPA Reg No,Product Name,Quantity Used,Quantity Units,Treated Amount,Treated Units,Appl. Method,Applicator Name,Applicator License #,Applicator License Type
3202150.0,Sierra Pacific Industries Almanor Distri,290726,29N07E26,29N07E26,M,29N,07E,26.0,2024-09-10,11:00 AM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,21.0,Gallon,58.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290726,29N07E26,29N07E26,M,29N,07E,26.0,2024-09-10,11:00 AM,30000-0,"FOREST, TMBRLND",92617-50001-AA,RAWWAR,10.5,Gallon,58.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290726,29N07E26,29N07E26,M,29N,07E,26.0,2024-09-10,11:00 AM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,7.0,Gallon,58.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290830,29N08E30,29N08E30,M,29N,08E,30.0,2024-09-11,2:00 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,72.0,Gallon,149.7,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290830,29N08E30,29N08E30,M,29N,08E,30.0,2024-09-11,2:00 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,54.0,Gallon,149.7,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290830,29N08E30,29N08E30,M,29N,08E,30.0,2024-09-11,2:00 PM,30000-0,"FOREST, TMBRLND",92617-50001-AA,RAWWAR,18.0,Gallon,149.7,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290830,29N08E30,29N08E30,M,29N,08E,30.0,2024-09-11,2:00 PM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,18.0,Gallon,149.7,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290725,29N07E25,29N07E25,M,29N,07E,25.0,2024-09-10,12:00 PM,30000-0,"FOREST, TMBRLND",524-529-AA,ROUNDUP PRO CONCENTRATE HERBICIDE,1.6,Gallon,3.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290725,29N07E25,29N07E25,M,29N,07E,25.0,2024-09-10,12:00 PM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,1.2,Gallon,3.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290725,29N07E25,29N07E25,M,29N,07E,25.0,2024-09-10,12:00 PM,30000-0,"FOREST, TMBRLND",92617-50001-AA,RAWWAR,0.4,Gallon,3.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3202150.0,Sierra Pacific Industries Almanor Distri,290725,29N07E25,29N07E25,M,29N,07E,25.0,2024-09-10,12:00 PM,30000-0,"FOREST, TMBRLND",81927-6-AA,ALLIGARE ROTARY 2 SL,0.4,Gallon,3.0,ACRES,Ground,"Highlanders Forest, LLC",119469.0,QAL
3200530.0,Sierra Pacific Industries Stirling City,22N08E17,,,M,22N,08E,17.0,2024-09-09,10:00 AM,30000-0,"FOREST, TMBRLND",19713-700-AA,DREXEL DUPLICATOR 6 HERBICIDE,20.0,Gallon,38.92,ACRES,Ground,"Highlanders Forest, LLC",37501.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,22N08E17,,,M,22N,08E,17.0,2024-09-09,10:00 AM,30000-0,"FOREST, TMBRLND",92617-50001-AA,RAWWAR,5.0,Gallon,38.92,ACRES,Ground,"Highlanders Forest, LLC",37501.0,PCM
3200530.0,Sierra Pacific Industries Stirling City,22N08E17,,,M,22N,08E,17.0,2024-09-09,10:00 AM,30000-0,"FOREST, TMBRLND",2935-50176-AA,SUPER SPREAD MSO,10.0,Gallon,38.92,ACRES,Ground,"Highlanders Forest, LLC",37501.0,PCM
